,Link,Brand,Model,Laptop Series,Part No,Processor Brand,Processor Model,Processor Core,RAM,RAM Type,Installed SSD Type,Graphics Chipset,Graphics Memory Accessibility,Graphics Memory,Display Size (Inch),Display Type,Display Resolution,Touch Screen,HDMI Port,LAN,Finger Print Sensor,Operating System,Color,Weight (Kg),Power Adapter,Warranty,Country Of Origin
443,https://www.ryans.com/lenovo-ideapad-slim-3i-15irh8-intel-core-i5-13420h-512gb-ssd-15.6-inch-fhd-antiglare-display-arctic-grey-laptop,Lenovo,Lenovo IdeaPad Slim 3i 15IRH8,IdeaPad,83EM001XLK,Intel,Core i5 13420H,8,8GB,DDR5,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,Yes,Free-Dos,Arctic Grey,1.62,65,2,China
444,https://www.ryans.com/lenovo-ideapad-slim-3i-14irh8-intel-core-i5-13420h-8gb-ram-512gb-ssd-14-inch-fhd-display-abyss-blue-laptop,Lenovo,Lenovo IdeaPad Slim 3i 14IRH8,IdeaPad,83EL0015LK,Intel,Core i5 13420H,8,8GB,DDR5,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,14,FHD LED Display,1920x1080,No,1,No,No,Free-Dos,Abyss Blue,1.37,65,2,China
445,https://www.ryans.com/lenovo-ideapad-slim-3i-14irh8-intel-core-i5-13420h-8gb-ram-512gb-ssd-14-inch-fhd-display-abyss-blue-laptop,Lenovo,Lenovo IdeaPad Slim 3i 14IRH8,IdeaPad,83EL0015LK,Intel,Core i5 13420H,8,8GB,DDR5,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,14,FHD LED Display,1920x1080,No,1,No,No,Free-Dos,Abyss Blue,1.37,65,2,China
446,https://www.ryans.com/lenovo-ideapad-slim-3i-14irh8-intel-core-i5-13420h-8gb-ram-512gb-ssd-14-inch-fhd-display-abyss-blue-laptop,Lenovo,Lenovo IdeaPad Slim 3i 14IRH8,IdeaPad,83EL0015LK,Intel,Core i5 13420H,8,8GB,DDR5,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,14,FHD LED Display,1920x1080,No,1,No,No,Free-Dos,Abyss Blue,1.37,65,2,China
447,https://www.ryans.com/lenovo-ideapad-slim-3i-14irh8-intel-core-i5-13420h-512gb-ssd-14-inch-fhd-display-arctic-grey-laptop,Lenovo,Lenovo IdeaPad Slim 3i 14IRH8,IdeaPad,83EL0016LK,Intel,Core i5 13420H,8,8GB,DDR5,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,14,FHD LED Display,1920x1080,No,1,No,Yes,Free-Dos,Arctic Grey,1.37,65,2,China
448,https://www.ryans.com/lenovo-ideapad-slim-3i-14irh8-intel-core-i5-13420h-512gb-ssd-14-inch-fhd-display-arctic-grey-laptop,Lenovo,Lenovo IdeaPad Slim 3i 14IRH8,IdeaPad,83EL0016LK,Intel,Core i5 13420H,8,8GB,DDR5,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,14,FHD LED Display,1920x1080,No,1,No,Yes,Free-Dos,Arctic Grey,1.37,65,2,China
449,https://www.ryans.com/lenovo-ideapad-slim-3i-14irh8-intel-core-i5-13420h-512gb-ssd-14-inch-fhd-display-arctic-grey-laptop,Lenovo,Lenovo IdeaPad Slim 3i 14IRH8,IdeaPad,83EL0016LK,Intel,Core i5 13420H,8,8GB,DDR5,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,14,FHD LED Display,1920x1080,No,1,No,Yes,Free-Dos,Arctic Grey,1.37,65,2,China
450,https://www.ryans.com/dell-latitude-3430-intel-core-i5-1235u-8gb-ram-512gb-ssd-14-inch-fhd-display-black-laptop,Dell,Dell Latitude 3430,Latitude,Not Found,Intel,Core i5 1235U,10,8GB,DDR4,NVMe PCle,Intel Iris Xe Graphics,Integrated,Shared,14,FHD LED Display,1920x1080,No,1,Yes,No,Free-Dos,Black,1.53,65,3,USA
451,https://www.ryans.com/dell-latitude-3430-intel-core-i5-1235u-8gb-ram-512gb-ssd-14-inch-fhd-display-black-laptop,Dell,Dell Latitude 3430,Latitude,Not Found,Intel,Core i5 1235U,10,8GB,DDR4,NVMe PCle,Intel Iris Xe Graphics,Integrated,Shared,14,FHD LED Display,1920x1080,No,1,Yes,No,Free-Dos,Black,1.53,65,3,USA
452,https://www.ryans.com/dell-latitude-3430-intel-core-i5-1235u-8gb-ram-512gb-ssd-14-inch-fhd-display-black-laptop,Dell,Dell Latitude 3430,Latitude,Not Found,Intel,Core i5 1235U,10,8GB,DDR4,NVMe PCle,Intel Iris Xe Graphics,Integrated,Shared,14,FHD LED Display,1920x1080,No,1,Yes,No,Free-Dos,Black,1.53,65,3,USA
453,https://www.ryans.com/msi-modern-15-b12mo-intel-core-i5-1235u-16gb-dram-512gb-ssd-15.6-inch-fhd-ips-display-classic-black-laptop,MSI,MSI Modern 15 B12MO,Modern,B12MO-687BD-BB51235U16GXXDX11EMH,Intel,Core i5 1235U,10,16GB,DDR4,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Win-11 Home,Classic Black,1.7,65,2,Taiwan
454,https://www.ryans.com/msi-modern-15-b12mo-intel-core-i5-1235u-16gb-dram-512gb-ssd-15.6-inch-fhd-ips-display-classic-black-laptop,MSI,MSI Modern 15 B12MO,Modern,B12MO-687BD-BB51235U16GXXDX11EMH,Intel,Core i5 1235U,10,16GB,DDR4,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Win-11 Home,Classic Black,1.7,65,2,Taiwan
455,https://www.ryans.com/msi-modern-15-b12mo-intel-core-i5-1235u-16gb-dram-512gb-ssd-15.6-inch-fhd-ips-display-classic-black-laptop,MSI,MSI Modern 15 B12MO,Modern,B12MO-687BD-BB51235U16GXXDX11EMH,Intel,Core i5 1235U,10,16GB,DDR4,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Win-11 Home,Classic Black,1.7,65,2,Taiwan
